iter	Passed	Remaining
0	204	203943
1	206	103035
2	208	69263
3	209	52248
4	212	42243
5	214	35564
6	217	30874
7	219	27279
8	221	24422
9	224	22177
10	225	20304
11	227	18767
12	229	17462
13	232	16365
14	234	15429
15	236	14570
16	240	13891
17	242	13256
18	245	12651
19	247	12133
20	249	11631
21	251	11174
22	253	10752
23	254	10348
24	257	10033
25	258	9689
26	260	9392
27	262	9129
28	264	8850
29	266	8605
30	268	8397
31	271	8216
32	273	8023
33	276	7845
34	277	7658
35	279	7494
36	282	7352
37	285	7219
38	288	7101
39	290	6982
40	292	6843
41	293	6705
42	294	6564
43	296	6438
44	299	6348
45	301	6247
46	303	6155
47	304	6048
48	306	5954
49	309	5873
50	311	5795
51	313	5709
52	314	5627
53	319	5597
54	320	5511
55	322	5429
56	323	5358
57	325	5284
58	327	5220
59	329	5154
60	335	5165
61	337	5111
62	340	5067
63	343	5019
64	346	4987
65	350	4961
66	353	4925
67	354	4856
68	356	4813
69	359	4781
70	362	4741
71	365	4710
72	368	4681
73	371	4654
74	375	4632
75	379	4609
76	381	4575
77	384	4540
78	387	4514
79	391	4497
80	392	4451
81	393	4408
82	395	4370
83	397	4331
84	398	4292
85	401	4267
86	403	4239
87	406	4211
88	409	4189
89	412	4167
90	414	4138
91	416	4108
92	418	4079
93	421	4060
94	423	4030
95	425	4007
96	428	3984
97	429	3952
98	432	3932
99	434	3910
100	436	3889
101	438	3857
102	440	3837
103	443	3818
104	446	3803
105	449	3786
106	451	3769
107	453	3747
108	456	3730
109	458	3712
110	460	3685
111	462	3667
112	465	3654
113	467	3636
114	470	3622
115	473	3608
116	475	3591
117	478	3575
118	482	3571
119	484	3556
120	487	3542
121	489	3520
122	490	3497
123	491	3475
124	494	3458
125	496	3444
126	499	3431
127	500	3412
128	503	3399
129	507	3396
130	509	3381
131	511	3360
132	512	3342
133	514	3327
134	517	3317
135	519	3300
136	521	3284
137	523	3267
138	524	3251
139	526	3235
140	529	3225
141	531	3214
142	533	3197
143	535	3183
144	537	3167
145	538	3151
146	540	3136
147	543	3126
148	545	3116
149	547	3102
150	550	3096
151	552	3081
152	554	3066
153	556	3055
154	558	3044
155	560	3032
156	561	3016
157	563	3001
158	565	2988
159	566	2976
160	568	2961
161	569	2948
162	571	2935
163	573	2922
164	574	2909
165	576	2898
166	580	2897
167	582	2885
168	584	2874
169	587	2866
170	588	2854
171	590	2843
172	593	2834
173	594	2824
174	596	2813
175	598	2803
176	601	2795
177	603	2788
178	606	2781
179	609	2774
180	609	2760
181	611	2748
182	613	2740
183	617	2736
184	619	2727
185	621	2721
186	625	2717
187	627	2708
188	629	2701
189	632	2696
190	635	2692
191	638	2689
192	641	2681
193	645	2680
194	648	2676
195	652	2675
196	655	2670
197	656	2659
198	659	2655
199	663	2653
200	667	2653
201	669	2645
202	671	2637
203	673	2628
204	675	2619
205	677	2611
206	679	2603
207	681	2596
208	683	2588
209	686	2581
210	689	2576
211	692	2572
212	694	2567
213	697	2561
214	698	2552
215	700	2544
216	702	2536
217	704	2528
218	707	2521
219	709	2516
220	711	2508
221	713	2499
222	715	2494
223	719	2493
224	723	2491
225	726	2489
226	728	2480
227	730	2473
228	734	2471
229	737	2468
230	739	2462
231	741	2455
232	743	2447
233	745	2439
234	748	2434
235	750	2428
236	752	2423
237	755	2418
238	756	2409
239	758	2402
240	760	2396
241	763	2390
242	764	2382
243	766	2374
244	768	2369
245	770	2362
246	772	2355
247	775	2351
248	778	2347
249	781	2343
250	784	2342
251	786	2333
252	788	2328
253	791	2323
254	793	2319
255	796	2314
256	798	2308
257	800	2301
258	802	2296
259	805	2291
260	807	2287
261	810	2282
262	813	2280
263	815	2272
264	817	2266
265	820	2263
266	823	2259
267	825	2255
268	828	2250
269	830	2244
270	833	2242
271	836	2238
272	838	2233
273	840	2227
274	843	2223
275	845	2217
276	848	2214
277	851	2211
278	854	2207
279	857	2204
280	859	2199
281	862	2195
282	864	2189
283	867	2186
284	872	2189
285	875	2185
286	878	2183
287	882	2182
288	888	2185
289	891	2182
290	894	2180
291	900	2183
292	902	2177
293	905	2175
294	910	2175
295	914	2175
296	917	2170
297	921	2170
298	925	2169
299	929	2169
300	932	2166
301	936	2164
302	940	2163
303	945	2163
304	947	2158
305	950	2155
306	954	2154
307	958	2153
308	960	2146
309	962	2142
310	965	2140
311	968	2136
312	975	2141
313	977	2135
314	980	2131
315	984	2130
316	988	2129
317	989	2122
318	991	2116
319	993	2110
320	994	2104
321	996	2098
322	999	2095
323	1002	2091
324	1004	2086
325	1007	2083
326	1012	2082
327	1016	2082
328	1019	2079
329	1023	2077
330	1026	2075
331	1029	2072
332	1031	2066
333	1034	2063
334	1039	2062
335	1044	2064
336	1046	2059
337	1050	2058
338	1054	2056
339	1057	2052
340	1059	2047
341	1061	2042
342	1064	2039
343	1068	2037
344	1071	2034
345	1074	2030
346	1077	2027
347	1081	2026
348	1085	2024
349	1088	2022
350	1090	2016
351	1094	2014
352	1098	2013
353	1103	2013
354	1105	2009
355	1109	2006
356	1112	2003
357	1116	2001
358	1119	1998
359	1122	1994
360	1125	1991
361	1128	1989
362	1133	1988
363	1134	1982
364	1137	1979
365	1141	1977
366	1144	1974
367	1148	1971
368	1149	1966
369	1152	1962
370	1156	1960
371	1158	1955
372	1162	1953
373	1163	1947
374	1165	1943
375	1167	1938
376	1171	1935
377	1173	1930
378	1176	1928
379	1178	1923
380	1180	1918
381	1183	1914
382	1186	1911
383	1190	1909
384	1193	1906
385	1196	1903
386	1200	1901
387	1203	1897
388	1205	1894
389	1209	1891
390	1212	1888
391	1215	1885
392	1223	1889
393	1225	1884
394	1227	1880
395	1230	1877
396	1235	1876
397	1237	1871
398	1240	1868
399	1243	1864
400	1245	1860
401	1248	1857
402	1251	1853
403	1253	1848
404	1256	1845
405	1258	1841
406	1261	1837
407	1264	1834
408	1267	1830
409	1270	1828
410	1273	1825
411	1276	1821
412	1279	1818
413	1282	1815
414	1284	1811
415	1287	1807
416	1291	1805
417	1294	1802
418	1296	1798
419	1299	1793
420	1300	1788
421	1304	1786
422	1307	1783
423	1310	1780
424	1313	1776
425	1315	1772
426	1319	1770
427	1322	1766
428	1325	1763
429	1327	1759
430	1329	1755
431	1332	1751
432	1334	1747
433	1338	1745
434	1342	1743
435	1345	1740
436	1349	1738
437	1353	1736
438	1355	1732
439	1357	1727
440	1360	1724
441	1363	1721
442	1369	1721
443	1371	1717
444	1374	1714
445	1377	1711
