iter	Passed	Remaining
0	163	163320
1	164	81983
2	164	54792
3	165	41240
4	166	33086
5	166	27653
6	167	23764
7	168	20854
8	168	18603
9	169	16803
10	170	15329
11	171	14100
12	172	13094
13	173	12204
14	174	11439
15	175	10765
16	175	10174
17	176	9645
18	177	9185
19	178	8761
20	179	8374
21	180	8021
22	181	7701
23	182	7405
24	182	7132
25	183	6882
26	184	6649
27	185	6432
28	186	6229
29	187	6049
30	189	5927
31	190	5762
32	191	5610
33	192	5463
34	193	5323
35	193	5190
36	194	5066
37	195	4950
38	196	4838
39	197	4731
40	197	4627
41	198	4530
42	199	4440
43	200	4350
44	201	4265
45	202	4195
46	203	4119
47	203	4045
48	204	3972
49	205	3902
50	206	3834
51	206	3769
52	207	3707
53	208	3647
54	208	3589
55	209	3533
56	210	3479
57	211	3427
58	211	3376
59	212	3328
60	213	3280
61	213	3235
62	214	3191
63	215	3149
64	216	3115
65	217	3079
66	218	3041
67	219	3004
68	220	2969
69	220	2936
70	221	2902
71	222	2870
72	223	2838
73	224	2807
74	225	2776
75	225	2746
76	226	2717
77	227	2689
78	228	2661
79	229	2635
80	229	2608
81	230	2584
82	232	2564
83	233	2541
84	234	2520
85	235	2498
86	236	2481
87	237	2462
88	238	2442
89	239	2421
90	240	2400
91	241	2379
92	241	2359
93	243	2342
94	243	2323
95	245	2307
96	245	2288
97	246	2271
98	247	2253
99	248	2235
100	249	2219
101	250	2202
102	251	2187
103	252	2173
104	253	2159
105	254	2144
106	255	2128
107	255	2113
108	257	2102
109	258	2090
110	259	2077
111	260	2064
112	261	2051
113	262	2037
114	262	2023
115	263	2010
116	264	1996
117	265	1986
118	266	1976
119	267	1964
120	268	1952
121	269	1939
122	270	1928
123	271	1919
124	272	1909
125	273	1899
126	274	1887
127	275	1877
128	276	1868
129	278	1863
130	279	1853
131	280	1842
132	281	1832
133	281	1822
134	282	1812
135	283	1802
136	284	1793
137	285	1783
138	287	1777
139	288	1769
140	288	1760
141	289	1748
142	290	1739
143	291	1730
144	292	1722
145	292	1712
146	293	1704
147	294	1695
148	295	1686
149	296	1678
150	297	1669
151	297	1662
152	298	1654
153	299	1646
154	300	1639
155	301	1633
156	302	1625
157	303	1618
158	304	1610
159	305	1603
160	305	1593
161	306	1586
162	307	1578
163	308	1571
164	309	1563
165	309	1556
166	310	1548
167	311	1542
168	312	1534
169	312	1528
170	313	1521
171	314	1514
172	315	1508
173	316	1502
174	317	1497
175	318	1490
176	319	1484
177	320	1477
178	320	1471
179	321	1465
180	322	1460
181	323	1454
182	324	1448
183	325	1442
184	325	1435
185	326	1429
186	327	1423
187	328	1417
188	328	1411
189	329	1406
190	331	1402
191	332	1397
192	332	1392
193	333	1386
194	334	1380
195	335	1375
196	336	1369
197	336	1364
198	337	1358
199	338	1353
200	339	1347
201	339	1342
202	340	1336
203	341	1331
204	341	1325
205	342	1321
206	343	1316
207	344	1311
208	345	1309
209	346	1305
210	347	1300
211	348	1295
212	349	1291
213	350	1286
214	351	1282
215	351	1277
216	352	1272
217	353	1268
218	354	1263
219	355	1259
220	356	1255
221	356	1250
222	358	1247
223	359	1244
224	360	1241
225	361	1238
226	363	1237
227	364	1233
228	365	1230
229	366	1226
230	367	1221
231	367	1217
232	368	1213
233	369	1208
234	369	1204
235	370	1200
236	371	1195
237	372	1191
238	372	1187
239	374	1184
240	375	1183
241	376	1179
242	377	1175
243	378	1171
244	378	1167
245	379	1163
